Datetime,Lat.,Lon.,Total_SO2,OMTO3_O3,DateforKepler
20130529T042709836Z,31.56,121.34,0.281,301.038,2013/05/29 04:27:09.836
20130529T042717325Z,31.99,121.18,-0.151,301.241,2013/05/29 04:27:17.325
20130529T042654860Z,31.0,122.43,0.196,306.329,2013/05/29 04:26:54.860
20130529T042702348Z,31.43,122.27,0.248,304.132,2013/05/29 04:27:02.348
20130531T052939932Z,30.55,120.8,-0.027999999999999997,286.892,2013/05/31 05:29:39.932
20130531T052947420Z,30.99,120.72,0.01,285.556,2013/05/31 05:29:47.420
20130531T052954908Z,31.43,120.63,0.07400000000000001,287.776,2013/05/31 05:29:54.908
20130531T052939932Z,30.48,121.73,0.008,290.255,2013/05/31 05:29:39.932
20130531T052947420Z,30.92,121.65,-0.01,291.504,2013/05/31 05:29:47.420
20130531T052954908Z,31.36,121.57,0.013000000000000001,292.546,2013/05/31 05:29:54.908
20130531T053002396Z,31.8,121.48,0.034,294.407,2013/05/31 05:30:02.396
20130601T051038925Z,30.54,120.84,-0.024,288.808,2013/06/01 05:10:38.925
20130601T051046413Z,30.98,120.73,-0.043,285.275,2013/06/01 05:10:46.413
20130601T051053901Z,31.42,120.62,0.085,282.774,2013/06/01 05:10:53.901
20130601T051038925Z,30.59,121.4,-0.068,290.14099999999996,2013/06/01 05:10:38.925
20130601T051046413Z,31.02,121.29,0.05,284.254,2013/06/01 05:10:46.413
20130601T051053901Z,31.46,121.18,-0.028999999999999998,282.356,2013/06/01 05:10:53.901
20130601T051101390Z,31.9,121.07,0.11900000000000001,279.057,2013/06/01 05:11:01.390
20130601T051038925Z,30.62,121.98,-0.02,289.62,2013/06/01 05:10:38.925
20130601T051046413Z,31.06,121.87,-0.084,284.98,2013/06/01 05:10:46.413
20130601T051053901Z,31.5,121.77,0.145,283.259,2013/06/01 05:10:53.901
20130601T051101390Z,31.94,121.66,0.10300000000000001,281.106,2013/06/01 05:11:01.390
20130601T051053901Z,31.52,122.39,0.055999999999999994,287.14599999999996,2013/06/01 05:10:53.901
20130603T043308880Z,30.63,120.99,-0.133,320.883,2013/06/03 04:33:08.880
20130603T043316368Z,31.06,120.84,-0.06,325.30400000000003,2013/06/03 04:33:16.368
20130603T043323856Z,31.49,120.68,-0.13,328.286,2013/06/03 04:33:23.856
20130603T043301392Z,30.45,121.85,-0.42,318.619,2013/06/03 04:33:01.392
20130603T043308880Z,30.88,121.7,0.461,323.298,2013/06/03 04:33:08.880
20130603T043316368Z,31.31,121.55,0.28800000000000003,327.139,2013/06/03 04:33:16.368
20130603T043323856Z,31.74,121.4,-0.179,329.974,2013/06/03 04:33:23.856
20130603T043308880Z,31.09,122.36,0.518,325.587,2013/06/03 04:33:08.880
20130603T043316368Z,31.52,122.21,0.431,328.452,2013/06/03 04:33:16.368
20130604T041431344Z,30.42,121.6,0.214,319.19,2013/06/04 04:14:31.344
20130604T041438832Z,30.84,121.43,0.305,322.462,2013/06/04 04:14:38.832
20130604T041446321Z,31.26,121.26,-0.044000000000000004,326.12,2013/06/04 04:14:46.321
20130604T041453809Z,31.68,121.08,-0.131,338.59,2013/06/04 04:14:53.809
20130605T053601443Z,30.44,121.2,-0.126,351.582,2013/06/05 05:36:01.443
20130605T053608931Z,30.88,121.12,-0.063,351.82800000000003,2013/06/05 05:36:08.931
20130605T053616420Z,31.31,121.04,-0.442,351.725,2013/06/05 05:36:16.420
20130605T053623908Z,31.75,120.96,0.28300000000000003,351.876,2013/06/05 05:36:23.908
20130605T053616420Z,31.15,122.26,0.071,356.588,2013/06/05 05:36:16.420
20130605T053623908Z,31.59,122.19,0.34600000000000003,357.805,2013/06/05 05:36:23.908
20130606T051700437Z,30.72,121.01,-0.12,300.094,2013/06/06 05:17:00.437
20130606T051707925Z,31.15,120.9,0.33899999999999997,309.113,2013/06/06 05:17:07.925
20130606T051715413Z,31.59,120.8,0.39299999999999996,319.156,2013/06/06 05:17:15.413
20130606T051700437Z,30.73,121.66,0.062,308.399,2013/06/06 05:17:00.437
20130606T051707925Z,31.17,121.56,-0.527,320.927,2013/06/06 05:17:07.925
20130606T051715413Z,31.61,121.46,0.055,326.075,2013/06/06 05:17:15.413
20130606T051722901Z,32.05,121.36,-0.098,326.89599999999996,2013/06/06 05:17:22.901
20130606T051707925Z,31.17,122.27,0.086,327.048,2013/06/06 05:17:07.925
20130606T051715413Z,31.61,122.17,-0.162,327.51,2013/06/06 05:17:15.413
20130607T045807942Z,30.78,120.8,0.122,285.186,2013/06/07 04:58:07.942
20130607T045815430Z,31.21,120.68,0.248,288.256,2013/06/07 04:58:15.430
20130607T045822918Z,31.65,120.55,-0.18,284.253,2013/06/07 04:58:22.918
20130607T045800453Z,30.4,121.27,0.355,283.76099999999997,2013/06/07 04:58:00.453
20130607T045807942Z,30.83,121.15,0.8809999999999999,285.02099999999996,2013/06/07 04:58:07.942
