date,Direct Normal [W/m^2],Global Horiz [W/m^2],Diffuse Horiz (calc) [W/m^2],Avg Wind Direction @ 30ft [deg from N],Dry Bulb Temp [deg C],Global UVA [W/m^2],Global UVE [W/m^2],Global UVE [Index],Avg Wind Speed @ 30ft [m/s],Peak Wind Speed @ 30ft [m/s]
2020-259-1435,560.081,510.474,174.764,83.4,38.45,20.12,0.078,3.113,1.093,1.568
2020-259-1436,550.865,503.277,174.464,64.35,38.29,19.84,0.077,3.066,1.499,2.45
2020-259-1437,548.04,501.515,175.756,49.88,38.27,19.72,0.076,3.041,0.941,1.274
2020-259-1438,558.312,503.168,172.707,38.53,38.37,19.88,0.076,3.055,0.939,1.862
2020-259-1439,557.574,502.212,173.590,62.74,38.45,19.78,0.076,3.033,1.64,2.352
2020-259-1440,548.511,496.616,174.729,49.7,38.29,19.51,0.075,2.989,1.666,2.156
2020-259-1441,535.274,486.796,174.041,39.39,38.15,19.12,0.073,2.928,0.802,1.764
2020-259-1442,542.676,489.232,173.537,56,38.42,19.23,0.073,2.933,1.767,4.116
2020-259-1443,547.734,492.511,175.279,69.88,38.27,19.33,0.073,2.939,2.14,3.724
2020-259-1444,554.878,497.541,177.595,68.67,38.1,19.48,0.074,2.951,1.898,3.332
2020-259-1445,556.919,498.016,178.340,56.94,38.08,19.46,0.073,2.94,3.172,4.214
2020-259-1446,556.789,497.320,179.165,55.15,37.82,19.37,0.073,2.92,3.348,4.312
2020-259-1447,554.856,494.947,179.340,53.59,37.82,19.26,0.072,2.896,2.391,3.626
2020-259-1448,552.388,492.227,179.468,59.18,37.8,19.14,0.072,2.872,3.165,4.116
2020-259-1449,554.140,491.473,179.175,57.87,37.69,19.11,0.072,2.86,1.744,2.352
2020-259-1450,547.198,483.054,176.113,78.11,37.96,18.8,0.07,2.812,1.127,2.548
2020-259-1451,541.675,477.270,174.867,67.72,38.19,18.58,0.069,2.773,1.029,2.45
2020-259-1452,535.748,470.882,173.213,49.57,38.37,18.33,0.068,2.733,1.612,3.626
2020-259-1453,538.39,470.498,172.795,60.35,38.14,18.29,0.068,2.719,2.329,3.528
2020-259-1454,540.191,470.923,173.669,58.44,38.13,18.26,0.068,2.708,2.097,2.744
2020-259-1455,535.376,466.651,173.482,49.79,38.26,18.06,0.067,2.674,1.896,2.94
2020-259-1456,535.166,463.406,171.802,48.16,38.03,17.94,0.066,2.649,2.442,2.94
2020-259-1457,537.607,462.834,171.358,49.38,37.87,17.91,0.066,2.638,2.277,3.038
2020-259-1458,535.290,460.075,171.306,52.61,37.61,17.76,0.065,2.611,1.491,2.646
2020-259-1459,526.914,452.793,169.977,37.25,37.65,17.47,0.064,2.566,1.166,1.666
2020-259-1500,523.554,448.325,168.745,33.56,37.72,17.3,0.063,2.536,1.617,2.058
2020-259-1501,515.005,442.766,169.164,32.29,37.71,17.04,0.062,2.493,1.312,2.058
2020-259-1502,504.794,435.157,168.380,62,37.91,16.73,0.061,2.446,1.189,2.058
2020-259-1503,504.327,433.578,168.441,50.44,37.99,16.63,0.061,2.424,2.421,3.234
2020-259-1504,483.871,429.331,176.262,48.99,37.84,16.46,0.06,2.397,1.793,3.234
2020-259-1505,84.2781,232.753,188.846,54.17,38.05,13.73,0.051,2.038,1.96,3.332
2020-259-1506,11.685,163.374,157.329,55.44,37.93,13.07,0.049,1.945,2.558,3.724
2020-259-1507,73.7475,184.505,146.612,55.07,37.83,13.44,0.05,1.987,3.084,4.802
2020-259-1508,343.246,323.179,147.600,54.57,37.63,14.94,0.054,2.171,2.507,3.234
2020-259-1509,482.860,411.264,165.52,56.7,37.43,15.62,0.056,2.249,1.844,2.842
2020-259-1510,482.735,411.133,166.816,62.32,37.4,15.53,0.056,2.232,1.013,1.47
2020-259-1511,484.028,407.841,164.244,74.16,37.53,15.46,0.055,2.217,0.691,1.176
2020-259-1512,485.392,404.418,161.514,64.65,37.73,15.39,0.055,2.199,0.408,0.686
2020-259-1513,477.580,396.729,159.103,68.16,37.87,15.15,0.054,2.162,0.55,0.882
2020-259-1514,471.294,389.706,156.559,41.68,38.07,14.93,0.053,2.128,0.49,0.882
2020-259-1515,466.816,384.319,154.730,42.04,38.2,14.74,0.052,2.097,1.137,1.568
2020-259-1516,466.853,382.555,154.294,42.86,38.01,14.64,0.052,2.076,1.463,2.254
2020-259-1517,474.219,384.854,154.362,22.2,37.92,14.69,0.052,2.076,0.314,0.98
2020-259-1518,473.524,383.024,154.242,29.23,38.09,14.62,0.052,2.061,0.237,0.784
2020-259-1519,478.226,381.778,152.126,49.91,38.17,14.59,0.051,2.049,0.399,1.078
2020-259-1520,479.241,380.425,151.679,46.6,38.3,14.48,0.051,2.029,0.575,0.882
2020-259-1521,471.264,374.277,150.716,41.33,38.22,14.22,0.05,1.99,0.975,1.372
2020-259-1522,466.520,369.299,149.359,43.29,38.14,14.03,0.049,1.961,0.936,1.176
